created_at,category_id,description,closed_at,title,address,budget,lat,lon,author_id,status
2019-03-09,2,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",2019-11-15,"enable impactful technologies","Eagan Crossing",6587,6.9641667,158.2083333,9,1
2020-01-01,1,"Lor sit amet, que facilis harum ipsa ipsam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","sagan Crossing",6587,56.9641667,78.2083333,1,1
2019-10-08,3,"Loum dolor sit amet, conse elit. Eaque facilis harum ipsa ipsam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","L Ean Crossing",6587,63.9641667,118.2083333,1,2
2020-03-08,4,"Lorem ipisicing elit. Eaque facilis harum ipsa ipsam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","Crossing",6587,61.9641667,18.2083333,2,2
2019-11-08,5,"Lopsa ipsam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","agan rossing",6587,23.9641667,84.2083333,4,2
2019-03-08,6,"Lam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","Eagan Crossing",6587,45.9641667,38.20833333,5,3
2019-01-12,3,"Lorems harum ipsa ipsam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","Eagan Crossing",6587,12.9641667,11.2083333,5,2
2018-02-08,2,"tetur adipisicing elit. Eaque facilis harum ipsa ipsam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","Eagan Crossing",6587,62.9641667,18.2083333,6,2
2017-01-08,2,"radipisicing elit. Eaque facilis harum ipsa ipsam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","Eagan Crossing",6587,64.9641667,153.2083333,7,2
2019-03-08,2,"consectetur adipisicing elit. Eaque facilis harum ipsa ipsam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","Eagan Crossing",6587,67.9641667,58.2083333,8,2
2019-03-08,2,"Lit. Eaque facilis harum ipsa ipsam ipsum numquam odit saepe sunt velit voluptate.",2019-11-15,"enable impactful technologies","Eagan Crossing34sa",6587,64.9641667,157.2083333,10,1
